,-1085.6939503914625,99.6339008875917
2007/04/04/morning,-162.64444042899322,17.7902292703302
2007/04/04/afternoon,-568.5376428281223,47.6575022342369
2007/04/05/morning,30.79192102100579,-384.83769672678096
2007/04/05/afternoon,-522.8984734956568,55.13154617218459
2007/04/06/morning,-1226.8695325170968,-344.0885663318993
2007/04/06/afternoon,-734.1379550107432,61.40332605675212
2007/04/09/morning,-248.35238815138527,14.196952560726459
2007/04/09/afternoon,-1463.9199219748248,64.50486203043216
2007/04/10/morning,57.53430745658628,53.37723501110583
2007/04/10/afternoon,-581.5205250625877,44.8753181203374
2007/04/11/morning,57.7680664970767,-942.2582344179299
2007/04/11/afternoon,-1156.377284335079,53.767752183505934
2007/04/12/morning,Infinity,Infinity
2007/04/12/afternoon,-1002.9335314394839,79.58482679010642
2007/04/13/morning,Infinity,Infinity
2007/04/13/afternoon,16.589258859705296,-102.17576814059043
2007/04/16/morning,Infinity,Infinity
2007/04/16/afternoon,38.84223556946836,-466.54338235562716
2007/04/17/morning,70.63013807187599,-50.206118915778234
2007/04/17/afternoon,27.0553685583513,-348.91235264768613
2007/04/18/morning,-165.38542832306882,21.552720576686397
2007/04/18/afternoon,37.86730501488372,-445.0367183944129
2007/04/19/morning,14.916146899339195,-156.72415895621424
2007/04/19/afternoon,31.655550324515165,29.20297793030457
2007/04/20/morning,-501.481361522654,-316.03333841588216
2007/04/20/afternoon,60.96744898832003,-210.2835672513537
2007/04/23/morning,-246.85567539663504,35.96118969094641
2007/04/23/afternoon,20.074913261009897,-125.85808420661728
2007/04/24/morning,26.509230239321745,-191.80359587247517
2007/04/24/afternoon,-160.36061619258675,20.100014215556484
2007/04/25/morning,20.06658291936492,-125.59946610065708
2007/04/25/afternoon,58.91632738762332,63.010071422048
2007/04/26/morning,-955.8304533467473,-556.2340292633452
2007/04/26/afternoon,-589.7438667573925,40.1391681767144
2007/04/27/morning,21.25349443073208,-242.35104254122055
2007/04/27/afternoon,30.026381862120807,-347.9869024489322
2007/05/01/morning,17.888906975958434,-110.59425056350429
2007/05/01/afternoon,65.86975075895926,64.5951557283609
2007/05/02/morning,40.52877858467053,-371.74532388103523
2007/05/02/afternoon,Infinity,Infinity
2007/05/07/morning,-147.71440651887545,36.41306273738337
2007/05/07/afternoon,-706.6302180279514,-697.1943899203869
2007/05/08/morning,-832.8631329936209,66.61408151599743
2007/05/08/afternoon,91.08144882226361,101.53389336568087
2007/05/09/morning,-654.622725336789,36.04483957175966
2007/05/09/afternoon,Infinity,Infinity
2007/05/10/morning,41.51713935253838,-330.8241544973169
2007/05/10/afternoon,105.80462180295784,109.19447100179609
2007/05/11/morning,26.47494301596703,-172.77557685495296
2007/05/11/afternoon,-378.6378148936242,53.76982934190164
2007/05/14/morning,-396.7679296609758,37.49028040379699
2007/05/14/afternoon,Infinity,Infinity
2007/05/15/morning,-544.7004430050335,-372.37967618445896
2007/05/15/afternoon,54.318076694290944,-688.0296078448765
2007/05/16/morning,34.297370462757044,-372.6730677383618
2007/05/16/afternoon,Infinity,Infinity
2007/05/17/morning,-538.45781314388,-1080.7362765929497
2007/05/17/afternoon,32.69547931135821,-63.80889549445783
2007/05/18/morning,Infinity,Infinity
2007/05/18/afternoon,27.361765712957776,-314.35373269982966
2007/05/21/morning,-783.3903543765091,-298.18763043674414
2007/05/21/afternoon,-402.0627455428054,39.17742284811652
2007/05/22/morning,-109.64749418763475,29.38526188770902
2007/05/22/afternoon,-459.23340164849833,-590.0083152256851
2007/05/23/morning,-412.27986966904086,-637.2882679984343
2007/05/23/afternoon,31.612160989254107,-353.5233800020875
2007/05/24/morning,43.77892314065757,-480.4711540683491
2007/05/24/afternoon,-635.2688864854961,-668.8126551041903
2007/05/25/morning,14.862616339070883,-92.52750347657535
2007/05/25/afternoon,-839.7156797471436,69.12541228925178
2007/05/28/morning,-276.52407814666645,35.83111219996681
2007/05/28/afternoon,75.06133578798192,-877.9027586299269
2007/05/29/morning,Infinity,Infinity
2007/05/29/afternoon,-838.1961959138584,84.88426543678179
2007/05/30/morning,-701.2707557155777,-434.5019564810742
2007/05/30/afternoon,-410.089505283584,-535.3326437738314
2007/05/31/morning,-178.70865042830894,22.12534288941015
2007/05/31/afternoon,-479.7307332506359,-744.8568390101314
2007/06/01/morning,305.7621896418027,924.8075505839583
2007/06/01/afternoon,72.91137675498102,376.44457574624926
2007/06/04/morning,Infinity,Infinity
2007/06/04/afternoon,153.85467775667925,229.03057212235655
2007/06/05/morning,Infinity,Infinity
