,243.00007418257817,116.86798962260964
2007/04/04/afternoon,115.61878639739218,48.77493296100722
2007/04/05/morning,31.270095206352135,51.742590527884886
2007/04/05/afternoon,108.02506786454607,70.78845240778989
2007/04/06/morning,30.845002624957566,60.01094310650353
2007/04/06/afternoon,291.9846095474079,1072.969172681995
2007/04/09/morning,87.92704344141839,18.505232363387886
2007/04/09/afternoon,193.28182927006202,81.82070544437832
2007/04/10/morning,58.49312736483114,55.64004177179542
2007/04/10/afternoon,118.16723164005961,49.83962382780479
2007/04/11/morning,69.65184421919312,83.43040028012733
2007/04/11/afternoon,129.17462003176362,72.76962114464361
2007/04/12/morning,Infinity,Infinity
2007/04/12/afternoon,125.13850505067887,81.8262918432984
2007/04/13/morning,Infinity,Infinity
2007/04/13/afternoon,20.724838603788278,73.94614697652099
2007/04/16/morning,Infinity,Infinity
2007/04/16/afternoon,44.796935223380736,118.3409304476663
2007/04/17/morning,8008.710748093523,801.3907090826469
2007/04/17/afternoon,27.761387422420217,70.16344797926791
2007/04/18/morning,56.111320883149745,26.11766756450094
2007/04/18/afternoon,43.37970216647097,106.50768845387097
2007/04/19/morning,15.39223924245766,42.45060558267859
2007/04/19/afternoon,29.377593755104314,33.17950954635081
2007/04/20/morning,36.09663924057361,46.94853272700252
2007/04/20/afternoon,239.2890131538854,196.62851581260293
2007/04/23/morning,93.97094642038753,46.24910008833419
2007/04/23/afternoon,23.583467899108953,68.23508349471254
2007/04/24/morning,29.338311753390172,37.04564433438956
2007/04/24/afternoon,73.2135923214899,21.500501726438156
2007/04/25/morning,22.917938678607854,59.00675182046318
2007/04/25/afternoon,63.32700880758131,73.06043870740028
2007/04/26/morning,54.65915982635685,72.20496123015158
2007/04/26/afternoon,87.47839810559566,52.92854157655242
2007/04/27/morning,25.910983974841688,33.70943971851304
2007/04/27/afternoon,35.7350400397211,42.31358150422044
2007/05/01/morning,23.058826387787967,60.81864345873231
2007/05/01/afternoon,78.79703093400836,71.33325891588383
2007/05/02/morning,47.489676469141656,63.438035918476714
2007/05/02/afternoon,Infinity,Infinity
2007/05/07/morning,97.8851571982886,38.70947651485073
2007/05/07/afternoon,66.90575657280297,81.15815770099582
2007/05/08/morning,80.93880665530291,64.9378003321422
2007/05/08/afternoon,97.20727372018938,95.6767573782157
2007/05/09/morning,90.80092312425207,37.21537929952101
2007/05/09/afternoon,Infinity,Infinity
2007/05/10/morning,45.94462587591611,76.5665687394657
2007/05/10/afternoon,110.29211651099604,107.48170983223639
2007/05/11/morning,31.149462856384684,76.99052167513946
2007/05/11/afternoon,174.57642021902052,64.45499563225749
2007/05/14/morning,116.64638597737301,41.67416631716619
2007/05/14/afternoon,Infinity,Infinity
2007/05/15/morning,35.046331612168835,54.06944662162899
2007/05/15/afternoon,63.95498696465808,93.87759309672992
2007/05/16/morning,40.80957800521229,107.96976000679118
2007/05/16/afternoon,Infinity,Infinity
2007/05/17/morning,83.47831585788175,74.92128683906276
2007/05/17/afternoon,115.42144515081124,185.62130663510402
2007/05/18/morning,Infinity,Infinity
2007/05/18/afternoon,27.336876493951372,67.26168342468705
2007/05/21/morning,37.790409190144274,65.93225476009421
2007/05/21/afternoon,101.26116186533557,46.04850650635014
2007/05/22/morning,90.96900840600568,30.611468390804003
2007/05/22/afternoon,48.94586376170197,47.57267559467298
2007/05/23/morning,48.52899968876919,50.20234930250457
2007/05/23/afternoon,36.046031460683345,118.35154993664119
2007/05/24/morning,44.51865465011081,67.4353703126783
2007/05/24/afternoon,58.07044006546221,60.852699853887664
2007/05/25/morning,15.646435185254449,67.58102918184707
2007/05/25/afternoon,138.2893851492263,83.90457333049311
2007/05/28/morning,80.45133877390532,42.17281510348442
2007/05/28/afternoon,78.43171351972293,170.91528350643003
2007/05/29/morning,Infinity,Infinity
2007/05/29/afternoon,254.79201122760503,100.87998805546579
2007/05/30/morning,47.103853046156296,47.80523706673731
2007/05/30/afternoon,52.82018777019096,31.185196607750246
