date,E,continuoustime,movfreq_model,movefreq_real
2007/08/20/morning,24.55655196,7020,285,407
2007/08/20/afternoon,24.04609033,9600,399,521
2007/08/21/morning,39.01306549,7200,184,316
2007/08/21/afternoon,21.97326028,9600,436,493
2007/08/22/morning,24.59015099,7200,292,254
2007/08/22/afternoon,32.49873768,9600,295,294
2007/08/23/morning,27.69992021,7080,255,221
2007/08/23/afternoon,39.28417449,9600,244,249
2007/08/24/morning,36.90167209,7200,195,140
2007/08/24/afternoon,44.82658328,9600,214,185
2007/08/27/morning,46.21714918,7110,153,113
2007/08/27/afternoon,44.06196046,9600,217,222
2007/08/28/morning,201.9045534,7170,35,127
2007/08/28/afternoon,53.63531755,9600,178,148
2007/08/29/morning,38.4808432,7050,183,242
2007/08/29/afternoon,72.99524263,9600,131,217
2007/08/30/morning,41.03512409,7140,173,158
2007/08/30/afternoon,38.85522708,9600,247,302
2007/08/31/morning,53.67297378,7170,133,150
2007/08/31/afternoon,93.51705763,9600,102,330
2007/09/03/morning,Inf,7181,0,55
2007/09/03/afternoon,Inf,9600,0,38
2007/09/04/morning,Inf,7200,0,53
2007/09/04/afternoon,Inf,9600,0,41
2007/09/05/morning,Inf,7170,0,63
2007/09/05/afternoon,Inf,9600,0,145
2007/09/06/morning,38.14239748,7140,187,146
2007/09/06/afternoon,40.77988893,9600,235,180
2007/09/07/morning,112.4917669,7170,63,98
2007/09/07/afternoon,89.66829416,9600,107,103
2007/09/10/morning,119.5006998,7080,59,149
2007/09/10/afternoon,65.49300877,9600,146,196
2007/09/11/morning,52.64896829,7200,136,148
2007/09/11/afternoon,49.37709142,9600,194,207
2007/09/12/morning,Inf,7170,0,116
2007/09/12/afternoon,53.72395163,9600,178,318
2007/09/13/morning,32462.34923,7170,0,187
2007/09/13/afternoon,97.35477397,9600,98,265
2007/09/14/morning,57.1549899,7170,125,203
2007/09/14/afternoon,27.82863033,9600,344,315
2007/09/18/morning,21.48005183,7170,333,231
2007/09/18/afternoon,29.30738712,9600,327,230
2007/09/19/morning,36.44112016,7021,192,158
2007/09/19/afternoon,71.31073346,9600,134,199
2007/09/20/morning,31.83325207,7170,225,155
2007/09/20/afternoon,58.9648098,9600,162,171
2007/09/21/morning,32.57916856,7170,220,118
2007/09/21/afternoon,37.6787071,9600,254,183
2007/09/25/morning,42.816329,7170,167,122
2007/09/25/afternoon,59.27644555,9600,161,140
2007/09/26/morning,50.6794578,7200,142,122
2007/09/26/afternoon,144.3279371,9600,66,78
2007/09/27/morning,172.0644211,7170,41,89
2007/09/27/afternoon,148.147354,9600,64,170
2007/09/28/morning,81.1808248,7170,88,133
2007/09/28/afternoon,44.98114832,9600,213,209
2007/10/01/morning,60.4712436,7200,119,138
2007/10/01/afternoon,35.64220998,9600,269,189
2007/10/02/morning,36.40480778,7110,195,115
2007/10/02/afternoon,65.14231394,9600,147,111
2007/10/03/morning,54.21241283,7200,132,121
2007/10/03/afternoon,66.96493804,9600,143,150
2007/10/04/morning,34.07319653,7170,210,156
2007/10/04/afternoon,55.3817816,9600,173,140
2007/10/05/morning,60.55195447,7200,118,102
2007/10/05/afternoon,73.94861273,9600,129,141
2007/10/09/morning,77.74279431,7170,92,93
2007/10/09/afternoon,78.38198142,9600,122,118
2007/10/10/morning,61.59147485,7200,116,66
2007/10/10/afternoon,88.92101618,9600,107,94
2007/10/11/morning,75.15857014,7200,95,74
2007/10/11/afternoon,148.9918775,9600,64,289
2007/10/12/morning,82.08474992,7200,87,105
2007/10/12/afternoon,52.64090907,9600,182,205
2007/10/15/morning,305.5177726,7170,23,63
2007/10/15/afternoon,72.42168507,9600,132,106
2007/10/16/morning,68.318224,7170,104,158
2007/10/16/afternoon,Inf,9600,0,139
2007/10/17/morning,38.34566411,7200,187,181
2007/10/17/afternoon,20.01816776,9600,479,442
2007/10/18/morning,38.66776626,7200,186,171
2007/10/18/afternoon,32.52753278,9600,295,288
2007/10/19/morning,38.1627079,7140,187,188
2007/10/19/afternoon,33.31922671,9600,288,295
2007/10/22/morning,35.21105876,7020,199,210
2007/10/22/afternoon,53.89544738,9600,178,210
2007/10/23/morning,61.97187585,7200,116,96
2007/10/23/afternoon,102.0936913,9600,94,102
2007/10/24/morning,77.253814,7200,93,94
2007/10/24/afternoon,64.24878374,9600,149,268
2007/10/25/morning,31.85059836,7200,226,160
2007/10/25/afternoon,32.75927659,9600,293,298
2007/10/26/morning,41.83635587,7170,171,142
2007/10/26/afternoon,47.92495606,9600,200,208
2007/10/29/morning,40.15327446,7140,177,98
2007/10/29/afternoon,90.8017163,9600,105,187
2007/10/30/morning,111.8038466,7170,64,113
2007/10/30/afternoon,55.86860254,9600,171,169
2007/10/31/morning,43.28930162,7200,166,123
2007/10/31/afternoon,52.57291691,9600,182,178
2007/11/01/morning,56.7743139,7170,126,106
2007/11/01/afternoon,53.91561055,9600,178,140
2007/11/02/morning,31.41816772,7080,225,137
2007/11/02/afternoon,55.79650351,9600,172,204
2007/11/05/morning,62.17572872,7200,115,109
2007/11/05/afternoon,52.55277696,9600,182,184
2007/11/06/morning,78.53055978,7170,91,186
2007/11/06/afternoon,81.80387764,9600,117,170
2007/11/07/morning,82.17882312,7200,87,107
2007/11/07/afternoon,59.57001719,9600,161,258
2007/11/08/morning,40.3699357,7080,175,173
2007/11/08/afternoon,37.06758698,9600,258,309
2007/11/09/morning,37.08382925,7200,194,232
2007/11/09/afternoon,27.51137394,9600,348,359
2007/11/12/morning,25.81343985,7110,275,239
2007/11/12/afternoon,27.51343828,9571,347,399
2007/11/13/morning,23.11935077,7200,311,241
2007/11/13/afternoon,20.29838701,9600,472,494
2007/11/14/morning,28.72290569,7080,246,212
