,Infinity,Infinity
2007/05/01/afternoon,91.27837801930536,84.58789519395279
2007/05/02/morning,65.16319245805953,44.35587479953382
2007/05/02/afternoon,Infinity,Infinity
2007/05/07/morning,90.49370174418601,44.954253950414916
2007/05/07/afternoon,84.38321925122335,81.39343655155545
2007/05/08/morning,95.65862424483805,82.06766727264572
2007/05/08/afternoon,115.54336979135847,112.85845933446873
2007/05/09/morning,101.29912471193015,34.865143871914164
2007/05/09/afternoon,Infinity,Infinity
2007/05/10/morning,50.80414363152926,68.3675032715301
2007/05/10/afternoon,105.62322509900244,104.48618740961359
2007/05/11/morning,30.65270286187382,54.609130960521995
2007/05/11/afternoon,116.51490883692051,61.93987204548397
2007/05/14/morning,96.52827581070937,60.79978269451277
2007/05/14/afternoon,Infinity,Infinity
2007/05/15/morning,39.269976824882704,53.97028640200888
2007/05/15/afternoon,68.3464391305937,90.35711627606369
2007/05/16/morning,47.874437902222034,79.79858374905554
2007/05/16/afternoon,Infinity,Infinity
2007/05/17/morning,77.83149328968867,68.48741589744928
2007/05/17/afternoon,1487.3229622614635,268.27132494735747
2007/05/18/morning,Infinity,Infinity
2007/05/18/afternoon,38.87364800605626,60.59063945992196
2007/05/21/morning,43.74470204913569,52.5589459159396
2007/05/21/afternoon,87.40188635656013,44.34452768138462
2007/05/22/morning,82.69900854624973,37.01555916099665
2007/05/22/afternoon,59.19065731503898,50.803846760423525
2007/05/23/morning,60.235613833396386,47.0534619595806
2007/05/23/afternoon,52.615169219880244,86.66066588289173
2007/05/24/morning,59.92334738250453,78.6763787831979
2007/05/24/afternoon,72.78459190476563,76.85195874947456
2007/05/25/morning,23.368456151259274,51.817172502558805
2007/05/25/afternoon,146.82131116078855,92.99286862101316
2007/05/28/morning,81.24671830738299,41.48558259956133
2007/05/28/afternoon,106.18727618416986,131.1018305953999
2007/05/29/morning,Infinity,Infinity
2007/05/29/afternoon,202.3242245419761,114.41828779474503
2007/05/30/morning,51.00889172163522,57.36450842296714
2007/05/30/afternoon,52.67712220872555,42.780712781014884
2007/05/31/morning,46.062487489278794,26.645327630877826
2007/05/31/afternoon,72.84674943894716,56.85130093316633
2007/06/01/morning,147.6958943141617,135.49366292509634
2007/06/01/afternoon,127.22711458126507,160.88859697832527
2007/06/04/morning,Infinity,Infinity
2007/06/04/afternoon,173.41505437714198,186.52443623021713
2007/06/05/morning,Infinity,Infinity
2007/06/05/afternoon,Infinity,Infinity
2007/06/06/morning,Infinity,Infinity
2007/06/06/afternoon,146.66940878346765,171.70441727966386
2007/06/07/morning,58.892718929934524,53.94964035765847
2007/06/07/afternoon,Infinity,Infinity
2007/06/08/morning,20.451186417022413,37.61558109380431
2007/06/08/afternoon,94.77681292489308,75.08905741602173
2007/06/11/morning,66.93164015878214,176.84871886768047
2007/06/11/afternoon,1483.9485665398684,455.47110311118604
2007/06/12/morning,Infinity,Infinity
2007/06/12/afternoon,122.81466334957167,94.80318595453858
2007/06/13/morning,84.26023349597439,53.659828117901505
2007/06/13/afternoon,159.535646803102,57.87210551878955
2007/06/14/morning,66.89590550649316,89.93886088244489
2007/06/14/afternoon,127.70391777521587,257.32111595379524
2007/06/15/morning,402.14935261073623,341.5912909529628
2007/06/15/afternoon,161.3640426751702,79.41630096676202
2007/06/18/morning,109.51123850167724,99.92569854252753
