"","Averege.Pieces.of.One.Market.Buy.Order","Averege.Pieces.of.One.Market.sell.Order","Averege.Pieces.of.One.limit.Buy.Order","Averege.Pieces.of.One.limit.sell.Order","r^U_B","r^U_A","r^D_B","r^D_A","lambda_B","lambda_A","mu_A","mu_B"
"2007/02/05/morning",10.4150731158605,13.2323022010708,8.48323599394333,9.43417159763314,31.8641975308642,413.135802469136,568.438202247191,39.9775280898876,0.544583333333333,0.531388888888889,0.544305555555556,0.768194444444444
"2007/02/05/afternoon",11.6990291262136,13.3287419651056,8.53470715835141,9.43428403410762,31.8641975308642,413.135802469136,568.438202247191,39.9775280898876,0.3278125,0.334166666666667,0.366666666666667,0.426041666666667
"2007/02/06/morning",12.3909090909091,11.2621990891347,7.72740851381628,6.87944590041183,61.5813953488372,652.06976744186,578.277777777778,78.7777777777778,0.287361111111111,0.255138888888889,0.320694444444444,0.341111111111111
"2007/02/06/afternoon",14.4230769230769,11.2414565826331,8.43238095238095,8.11737804878049,61.5813953488372,652.06976744186,578.277777777778,78.7777777777778,0.276666666666667,0.277291666666667,0.331041666666667,0.3084375
"2007/02/07/morning",13.0630498533724,13.0211915233906,8.33989218328841,9.386709367494,51.890243902439,539.975609756098,515.2625,56.8,0.429722222222222,0.488472222222222,0.5075,0.591666666666667
"2007/02/07/afternoon",14.9721669980119,15.0776595744681,8.96188283448452,8.20326975476839,51.890243902439,539.975609756098,515.2625,56.8,0.364895833333333,0.313541666666667,0.4365625,0.4065625
"2007/02/08/morning",14.1077235772358,10.5135253054101,8.74618805590851,6.27998886724186,43.566265060241,430.180722891566,543.715909090909,46.8181818181818,0.383960948396095,0.314644351464435,0.375453277545328,0.479218967921897
"2007/02/08/afternoon",12.7317939609236,14.7692971108236,7.9345148044089,8.82023809523809,43.566265060241,430.180722891566,543.715909090909,46.8181818181818,0.382395833333333,0.385833333333333,0.435729166666667,0.497604166666667
"2007/02/09/morning",13.1096374889478,13.6576158940397,8.37620396600567,8.45332050048123,51.6923076923077,569.846153846154,515.554347826087,42,0.410555555555556,0.365833333333333,0.522083333333333,0.413888888888889
"2007/02/09/afternoon",15.2527233115468,12.5868772782503,9.67533539731682,9.04827586206897,51.6923076923077,569.846153846154,515.554347826087,42,0.488229166666667,0.39625,0.564270833333333,0.47625
"2007/02/13/morning",10.3337679269883,10.9065170940171,7.39713896457766,8.5,50.0987654320988,498.925925925926,453.253012048193,41.8674698795181,0.452361111111111,0.389583333333333,0.589861111111111,0.416805555555556
"2007/02/13/afternoon",12.7076923076923,14.0237717908082,8.68803622497617,9.61805753346625,50.0987654320988,498.925925925926,453.253012048193,41.8674698795181,0.3796875,0.351666666666667,0.443854166666667,0.417083333333333
"2007/02/14/morning",12.3359183673469,12.3429819770617,8.38734392735528,8.09715142428786,46.7377049180328,723.311475409836,550.520833333333,39.5416666666667,0.410416666666667,0.375,0.518333333333333,0.414305555555556
"2007/02/14/afternoon",12.513916500994,16.4726530612245,8.2576900754498,9.39645776566758,46.7377049180328,723.311475409836,550.520833333333,39.5416666666667,0.296354166666667,0.287291666666667,0.367916666666667,0.300416666666667
"2007/02/15/morning",11.9579234972678,12.2876595744681,8.78365831012071,8.74050822122571,52.3275862068966,620.310344827586,549.639344262295,47.4754098360656,0.39581589958159,0.407670850767085,0.450069735006974,0.538633193863319
"2007/02/15/afternoon",14.341449603624,17.3135095447871,7.82861072902338,9.09264389042782,52.3275862068966,620.310344827586,549.639344262295,47.4754098360656,0.296354166666667,0.307708333333333,0.380520833333333,0.3503125
"2007/02/16/morning",11.5932114882507,12.3689138576779,6.95776818742293,7.95987361769352,28.921568627451,573.098039215686,626.36,36.06,0.313472222222222,0.349861111111111,0.426944444444444,0.372361111111111
"2007/02/16/afternoon",11.4073319755601,14.973442288049,7.04955290611028,7.20367102012001,28.921568627451,573.098039215686,626.36,36.06,0.197083333333333,0.2125,0.254166666666667,0.2334375
"2007/02/19/morning",11.6090909090909,12.1297420333839,7.49032648125756,8.10364145658263,55.2380952380952,738.571428571429,714.794117647059,37,0.344027777777778,0.321388888888889,0.439027777777778,0.345138888888889
"2007/02/19/afternoon",12.065339141257,13.7810218978102,7.296,8.5980007140307,55.2380952380952,738.571428571429,714.794117647059,37,0.199479166666667,0.250833333333333,0.283541666666667,0.235104166666667
"2007/02/20/morning",10.646529562982,12.9829721362229,7.3861137291863,8.73451623702712,50.078431372549,642.78431372549,482.589743589744,73,0.326527777777778,0.362361111111111,0.363888888888889,0.494583333333333
"2007/02/20/afternoon",11.6020278833967,11.8254326561324,7.35332807156012,7.49551435406699,50.078431372549,642.78431372549,482.589743589744,73,0.291145833333333,0.261041666666667,0.38,0.273125
"2007/02/21/morning",10.6741308190925,11.0526711813394,6.85022890778286,7.24405218726017,49.9724770642202,456.082568807339,457.134615384615,51.1538461538462,0.290833333333333,0.262083333333333,0.350833333333333,0.316527777777778
"2007/02/21/afternoon",13.3076638282118,13.998613037448,9.23978723404255,10.2219369894982,49.9724770642202,456.082568807339,457.134615384615,51.1538461538462,0.452291666666667,0.45625,0.5028125,0.561458333333333
"2007/02/22/morning",15.7028901734104,11.7488687782805,8.47047075606277,8.40705958549223,63.6666666666667,713.543859649123,698.767857142857,40.7857142857143,0.4139470013947,0.362064156206416,0.501255230125523,0.42092050209205
"2007/02/22/afternoon",17.3593380614657,14.5083832335329,9.72552783109405,8.73356164383562,63.6666666666667,713.543859649123,698.767857142857,40.7857142857143,0.316666666666667,0.265625,0.312083333333333,0.366458333333333
"2007/02/23/morning",11.2785602503912,11.5724258289703,7.32921810699589,7.88441890166028,66.0416666666667,611.777777777778,553.388888888889,52.1805555555556,0.34625,0.342916666666667,0.413472222222222,0.386527777777778
"2007/02/23/afternoon",12.6301067353699,15.5706806282723,8.44820489366568,9.34112530578962,66.0416666666667,611.777777777778,553.388888888889,52.1805555555556,0.384791666666667,0.357916666666667,0.486875,0.391770833333333
"2007/02/26/morning",10.5861696380335,14.21251149954,6.13964262078094,8.16339607529035,38.3472222222222,482.361111111111,524.243902439024,49.8292682926829,0.257638888888889,0.283055555555556,0.355555555555556,0.289027777777778
"2007/02/26/afternoon",10.9712115153938,11.64111747851,8.29280038526366,8.89766081871345,38.3472222222222,482.361111111111,524.243902439024,49.8292682926829,0.35875,0.3803125,0.398229166666667,0.457604166666667
"2007/02/27/morning",12.100347739692,12.9363484087102,7.9445412311266,9.3563681437868,34.0135135135135,462.243243243243,515.97619047619,47.2261904761905,0.38,0.419305555555556,0.493194444444444,0.467638888888889
"2007/02/27/afternoon",10.4503602882306,11.8713235294118,8.05010064862447,9.01376037959668,34.0135135135135,462.243243243243,515.97619047619,47.2261904761905,0.374895833333333,0.395729166666667,0.389895833333333,0.503333333333333
"2007/02/28/morning",12.7316258351893,13.4896626768226,10.9293667940834,12.1954832881662,47.3840579710145,365.427536231884,351.856115107914,39.9064748201439,0.936752136752137,0.961538461538462,1.1994301994302,1.08575498575499
"2007/02/28/afternoon",14.751329787234,15.0898423175651,9.27417291171632,10.1542844619768,47.3840579710145,365.427536231884,351.856115107914,39.9064748201439,0.5284375,0.482604166666667,0.6178125,0.6021875
"2007/03/01/morning",9.02702702702703,8.87155963302752,13.1087202718007,13.3860561914672,19.6101694915254,94.8135593220339,90,17.811320754717,0.160694444444444,0.178611111111111,0.1725,0.180555555555556
"2007/03/01/afternoon",9.17832167832168,9.71886120996441,14.8103448275862,14.3072078376487,19.6101694915254,94.8135593220339,90,17.811320754717,0.196770833333333,0.212916666666667,0.221979166666667,0.205520833333333
"2007/03/02/morning",9,8.45578231292517,13.2661804922516,15.1532198371577,15.1833333333333,104.65,89.5576923076923,11.4038461538462,0.202083333333333,0.284305555555556,0.276388888888889,0.22
"2007/03/02/afternoon",8.05172413793103,6.7811320754717,10.7658495350803,12.9538228614686,15.1833333333333,104.65,89.5576923076923,11.4038461538462,0.132604166666667,0.178229166666667,0.1775,0.141666666666667
"2007/03/05/morning",7.6437908496732,5.35844155844156,9.87303058387396,14.2362369337979,16.7010309278351,125.505154639175,68.1710526315789,8.23684210526316,0.149789029535865,0.287201125175809,0.29817158931083,0.145147679324895
"2007/03/05/afternoon",7.6056338028169,5.42356241234222,9.73997641509434,13.6873459326212,16.7010309278351,125.505154639175,68.1710526315789,8.23684210526316,0.171979166666667,0.346979166666667,0.3209375,0.184166666666667
"2007/03/06/morning",7.88745387453875,7.39583333333333,11.3513182096873,13.4888380080137,13.972972972973,159.567567567568,68.5942028985507,11.2463768115942,0.257083333333333,0.327222222222222,0.378611111111111,0.259166666666667
"2007/03/06/afternoon",8.41648106904232,6.42581888246628,7.32771260997067,13.8030480656506,13.972972972973,159.567567567568,68.5942028985507,11.2463768115942,0.1040625,0.245208333333333,0.254375,0.117604166666667
"2007/03/07/morning",4.90318302387268,7.38288288288288,11.18853974122,14.5792915531335,18.0315789473684,188.673684210526,174.046511627907,15.4651162790698,0.253138075313808,0.373082287308229,0.314644351464435,0.318967921896792
"2007/03/07/afternoon",7.48059701492537,9.30396902226525,14.5319531953195,15.3406335549472,18.0315789473684,188.673684210526,174.046511627907,15.4651162790698,0.336354166666667,0.408541666666667,0.409583333333333,0.353645833333333
"2007/03/08/morning",12.2554545454545,11.8051689860835,11.5618852459016,12.4760116812683,32.4135802469136,248.530864197531,206.021739130435,25.7608695652174,0.391805555555556,0.415277777777778,0.486388888888889,0.4025
"2007/03/08/afternoon",12.9296325254105,11.181459566075,10.3290653008963,9.96638655462185,32.4135802469136,248.530864197531,206.021739130435,25.7608695652174,0.504166666666667,0.4446875,0.597916666666667,0.4728125
"2007/03/09/morning",11.493705341953,11.5578947368421,9.71589008363202,9.36538461538461,34.156862745098,370,337.340659340659,47.4725274725275,0.564722222222222,0.547777777777778,0.626666666666667,0.662777777777778
"2007/03/09/afternoon",11.5854419410745,11.3707085463842,8.71656817684395,9.12756909992913,34.156862745098,370,337.340659340659,47.4725274725275,0.414791666666667,0.402395833333333,0.487916666666667,0.453645833333333
"2007/03/12/morning",9.89928909952607,9.44306930693069,6.7216153591526,7.14433992864093,37.4302325581395,319.046511627907,332.936708860759,34.8987341772152,0.283124128312413,0.307112970711297,0.345188284518828,0.374616457461646
"2007/03/12/afternoon",10.3752196836555,10.2587614018243,7.59219203376418,7.61569073337123,37.4302325581395,319.046511627907,332.936708860759,34.8987341772152,0.299791666666667,0.2790625,0.342604166666667,0.333645833333333
"2007/03/13/morning",11.1075837742504,10.4896725440806,7.51782992989942,7.88830486202365,31.0084033613445,352.201680672269,346.645669291339,37.4566929133858,0.3425,0.333472222222222,0.39,0.429166666666667
"2007/03/13/afternoon",13.0227780259044,13.5915205870363,8.84643114635905,8.75182998819362,31.0084033613445,352.201680672269,346.645669291339,37.4566929133858,0.3834375,0.386041666666667,0.444166666666667,0.490729166666667
"2007/03/14/morning",13.5466666666667,13.9381655788389,10.6359853121175,9.8989898989899,37.9758064516129,380.322580645161,337.129032258065,36.3306451612903,0.616170212765957,0.583829787234043,0.673900709219858,0.800851063829787
"2007/03/14/afternoon",13.9864130434783,12.8644304682041,10.2686138376825,9.61757719714964,37.9758064516129,380.322580645161,337.129032258065,36.3306451612903,0.446770833333333,0.463854166666667,0.551458333333333,0.549583333333333
"2007/03/15/morning",11.8896271686969,10.6694323144105,8.58617908039796,8.49595250944414,35.9393939393939,344.717171717172,375.267326732673,29.7029702970297,0.447198879551821,0.440896358543417,0.613445378151261,0.481232492997199
"2007/03/15/afternoon",13.5143475906876,12.583217431618,9.14021236046828,8.16935904116727,35.9393939393939,344.717171717172,375.267326732673,29.7029702970297,0.3496875,0.3265625,0.388958333333333,0.42
"2007/03/16/morning",12.4188458070334,12.0818011257036,8.95380223202699,9.3326597625663,32.4444444444444,396.965277777778,357.652173913043,43.8913043478261,0.479027777777778,0.513055555555556,0.575138888888889,0.609166666666667
"2007/03/16/afternoon",12.3171581769437,12.6799658022229,9.74049555513524,9.60813378943368,32.4444444444444,396.965277777778,357.652173913043,43.8913043478261,0.536354166666667,0.5265625,0.649479166666667,0.635
"2007/03/19/morning",11.5076873798847,11.3644242674371,9.63822843822844,8.87984981226533,39.6862745098039,384.264705882353,318.752577319588,41.1752577319588,0.574166666666667,0.492638888888889,0.703611111111111,0.5775
"2007/03/19/afternoon",12.4426825239511,12.0208429828624,8.70022675736961,9.24634448574969,39.6862745098039,384.264705882353,318.752577319588,41.1752577319588,0.399583333333333,0.388541666666667,0.5340625,0.4146875
"2007/03/20/morning",11.5229681978799,11.4782003710575,8.10040705563094,7.97516556291391,41.825,361.75,354.45,46.35,0.416317991631799,0.403068340306834,0.501813110181311,0.489400278940028
"2007/03/20/afternoon",13.0921945701357,12.7905894519131,8.41278065630397,8.66010575793185,41.825,361.75,354.45,46.35,0.304375,0.306979166666667,0.369166666666667,0.365208333333333
"2007/03/22/morning",12.1595253790376,11.1106693174288,7.14913763949949,7.39180706970598,32.8,420.48,426.352941176471,32.8235294117647,0.29732770745429,0.314627285513361,0.342334739803094,0.351898734177215
"2007/03/22/afternoon",12.5890937019969,10.5657894736842,7.11471698113208,7.48380427291523,32.8,420.48,426.352941176471,32.8235294117647,0.196354166666667,0.226145833333333,0.250625,0.246041666666667
"2007/03/23/morning",11.3879120879121,11.4331382260243,7.51197263397948,7.58716089175396,36.6760563380282,402.112676056338,361.583333333333,42.5972222222222,0.365972222222222,0.392222222222222,0.424722222222222,0.522638888888889
"2007/03/23/afternoon",12.6826775677057,12.5104510451045,8.52980665950591,8.52043301759134,36.6760563380282,402.112676056338,361.583333333333,42.5972222222222,0.330833333333333,0.327916666666667,0.3946875,0.368125
"2007/03/26/morning",8.99332929047908,8.83333333333333,6.58165548098434,6.79166666666667,33.078125,523.734375,345.894736842105,32.4210526315789,0.285972222222222,0.289722222222222,0.306805555555556,0.375138888888889
"2007/03/26/afternoon",11.680412371134,10.4937541091387,6.87711257519335,6.91044776119403,33.078125,523.734375,345.894736842105,32.4210526315789,0.25,0.226666666666667,0.3046875,0.2540625
